index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
18284,гельтек тоник,https://www.wildberries.ru/catalog/0/search.aspx?search=гельтек%20тоник&xsearch=true&xsearch=true&sort=popular,12.0,978.75,428.0,1923.0,61.0,1.0,240.0,6.0,6.0,5.0,5.0,57.0,36.25
18823,маленькие гантели,https://www.wildberries.ru/catalog/0/search.aspx?search=маленькие%20гантели&xsearch=true&xsearch=true&sort=popular,7.0,551.2857142857143,413.0,1130.0,77.0,0.0,372.0,6.0,6.0,6.0,0.0,55.0,40.857142857142854
19098,малиновый соус,https://www.wildberries.ru/catalog/0/search.aspx?search=малиновый%20соус&xsearch=true&xsearch=true&sort=popular,8.0,897.25,351.0,2552.0,12.0,0.0,45.0,1.0,1.0,1.0,0.0,51.0,27.125
19179,динокопилка,https://www.wildberries.ru/catalog/0/search.aspx?search=динокопилка&xsearch=true&xsearch=true&sort=popular,18.0,2418.5,1500.0,2760.0,17.0,1.0,48.0,14.0,6.0,6.0,20.0,40.0,26.777777777777782
19246,балон с гелием,https://www.wildberries.ru/catalog/0/search.aspx?search=балон%20с%20гелием&xsearch=true&xsearch=true&sort=popular,39.0,2357.74358974359,697.0,2800.0,30.0,0.0,894.0,38.0,37.0,37.0,0.0,80.0,9.538461538461537
19592,форма для багетов,https://www.wildberries.ru/catalog/0/search.aspx?search=форма%20для%20багетов&xsearch=true&xsearch=true&sort=popular,11.0,1010.1818181818179,481.0,1696.0,16.0,1.0,47.0,10.0,9.0,8.0,5.0,51.0,30.272727272727273
19665,магическая капсула,https://www.wildberries.ru/catalog/0/search.aspx?search=магическая%20капсула&xsearch=true&xsearch=true&sort=popular,2.0,826.0,500.0,1152.0,169.0,1.0,336.0,1.0,1.0,1.0,0.0,40.0,20.0
19853,тканевые подгузники,https://www.wildberries.ru/catalog/0/search.aspx?search=тканевые%20подгузники&xsearch=true&xsearch=true&sort=popular,19.0,780.8421052631578,458.0,1935.0,18.0,0.0,47.0,8.0,8.0,8.0,10.0,35.0,25.578947368421048
19855,протеин иван поле,https://www.wildberries.ru/catalog/0/search.aspx?search=протеин%20иван%20поле&xsearch=true&xsearch=true&sort=popular,10.0,1143.0,881.0,1294.0,67.0,8.0,210.0,9.0,9.0,7.0,65.0,69.0,66.2
20163,чехол на массажную кушетку,https://www.wildberries.ru/catalog/0/search.aspx?search=чехол%20на%20массажную%20кушетку&xsearch=true&xsearch=true&sort=popular,47.0,1787.1914893617022,684.0,2677.0,9.0,0.0,43.0,31.0,13.0,13.0,9.0,44.0,23.53191489361702
20218,адаптер для установки устройств 2.5,https://www.wildberries.ru/catalog/0/search.aspx?search=адаптер%20для%20установки%20устройств%202.5&xsearch=true&xsearch=true&sort=popular,3.0,1310.0,391.0,2990.0,40.0,0.0,80.0,2.0,2.0,2.0,0.0,33.0,21.0
20423,книга вязание из джута,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%20вязание%20из%20джута&xsearch=true&xsearch=true&sort=popular,1.0,430.0,430.0,430.0,70.0,70.0,70.0,1.0,1.0,1.0,25.0,25.0,25.0
20424,"постельное белье 1,5 спальное бязь василиса","https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%201,5%20спальное%20бязь%20василиса&xsearch=true&xsearch=true&sort=popular",75.0,1320.4266666666667,786.0,2520.0,122.0,0.0,1270.0,73.0,73.0,73.0,28.0,83.0,68.76
20627,неодимовый магнит 50 на 30,https://www.wildberries.ru/catalog/0/search.aspx?search=неодимовый%20магнит%2050%20на%2030&xsearch=true&xsearch=true&sort=popular,15.0,1511.533333333333,461.0,2736.0,16.0,0.0,91.0,8.0,7.0,7.0,33.0,67.0,53.66666666666666
20958,вешалка для гитары,https://www.wildberries.ru/catalog/0/search.aspx?search=вешалка%20для%20гитары&xsearch=true&xsearch=true&sort=popular,2.0,545.5,436.0,655.0,56.0,1.0,111.0,1.0,1.0,1.0,41.0,66.0,53.5
21451,шамиль ахмадуллин таблица,https://www.wildberries.ru/catalog/0/search.aspx?search=шамиль%20ахмадуллин%20таблица&xsearch=true&xsearch=true&sort=popular,10.0,1006.7,615.0,1598.0,227.0,30.0,706.0,10.0,10.0,10.0,50.0,87.0,68.5
21466,презервативы 144 шт,https://www.wildberries.ru/catalog/0/search.aspx?search=презервативы%20144%20шт&xsearch=true&xsearch=true&sort=popular,12.0,1704.25,687.0,2517.0,69.0,0.0,334.0,5.0,4.0,4.0,5.0,77.0,47.41666666666666
